정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
제일풍경채,42833,3484 ,3421 ,3484 ,3421 ,0 ,222 
제일풍경채1차정문앞,89350,1638 ,1587 ,1638 ,1587 ,0 ,104 
제일풍경채2차,89349,13 ,224 ,13 ,224 ,0 ,7 
제일풍경채2차321동앞,42866,3249 ,1273 ,3249 ,1273 ,0 ,145 
제일풍경채2차321동앞,42873,333 ,1183 ,333 ,1183 ,0 ,48 
제일풍경채2차323동앞,42891,7041 ,6965 ,7041 ,6965 ,0 ,451 
제일풍경채2차331동앞,42989,1990 ,3284 ,1990 ,3284 ,0 ,170 
제일풍경채디오션아파트,35616,1273 ,2329 ,1273 ,2329 ,0 ,116 
제일풍경채디오션아파트,35617,2198 ,1145 ,2198 ,1145 ,0 ,107 
제적봉앞마을,90060,1 ,1 ,1 ,1 ,0 ,0 
제적봉입구,43654,4 ,29 ,4 ,29 ,0 ,1 
제적봉입구,43686,7 ,1 ,7 ,1 ,0 ,0 
조광교회입구,43533,28 ,0 ,28 ,0 ,0 ,0 
조광교회입구,43868,0 ,30 ,0 ,30 ,0 ,0 
조달청(한양2차아파트),37511,6353 ,12535 ,6353 ,12535 ,0 ,609 
조달청비축기지,35114,1412 ,2988 ,1412 ,2988 ,0 ,141 
조달청비축기지,35115,3804 ,1729 ,3804 ,1729 ,0 ,178 
조동초등학교,39464,2996 ,1961 ,2996 ,1961 ,0 ,159 
조동초등학교,39465,29 ,1186 ,29 ,1186 ,0 ,39 
조리미입구,80068,1148 ,43 ,1148 ,43 ,0 ,38 
조리미입구,80069,24 ,871 ,24 ,871 ,0 ,28 
조바위,90350,1 ,11 ,1 ,11 ,0 ,0 
조바위,90351,21 ,1 ,21 ,1 ,0 ,0 
조산,43192,12 ,85 ,12 ,85 ,0 ,3 
조산,43334,119 ,24 ,119 ,24 ,0 ,4 
조산교회,43172,11 ,31 ,11 ,31 ,0 ,1 
조산교회,43338,100 ,12 ,97 ,12 ,3 ,3 
조산초등학교,43189,17 ,174 ,15 ,174 ,2 ,6 
조산초등학교,43593,249 ,19 ,248 ,19 ,1 ,8 
종갱이,43180,49 ,121 ,48 ,121 ,1 ,5 
종갱이,43288,85 ,60 ,85 ,60 ,0 ,4 
종근당,40002,326 ,14 ,326 ,14 ,0 ,10 
종근당,40005,40 ,801 ,40 ,801 ,0 ,27 
종근당.충정로역,11002,133 ,8141 ,133 ,8141 ,0 ,266 
종로약국,57005,737 ,1027 ,737 ,1027 ,0 ,56 
종로약국,57007,1959 ,925 ,1959 ,925 ,0 ,93 
종생마을,80161,836 ,119 ,836 ,119 ,0 ,30 
종생마을,80162,131 ,1213 ,131 ,1213 ,0 ,43 
종점(병무청),37014,2725 ,3632 ,2725 ,3632 ,0 ,205 
종합터미널,37242,41361 ,21781 ,41361 ,21781 ,0 ,2036 
종합터미널,39177,14372 ,35869 ,14372 ,35869 ,0 ,1620 
종현동정보화마을,62043,16 ,127 ,16 ,127 ,0 ,4 
종현동정보화마을,62044,142 ,12 ,142 ,12 ,0 ,4 
좌동교차로,89371,5 ,61 ,5 ,61 ,0 ,2 
좌동마을,42452,112 ,125 ,112 ,125 ,0 ,7 
좌동마을,89253,162 ,175 ,162 ,175 ,0 ,10 
좌동마을입구,42456,26 ,148 ,26 ,148 ,0 ,5 
좌동마을입구,42928,249 ,24 ,249 ,24 ,0 ,8 
주거단지,35118,481 ,472 ,481 ,472 ,0 ,30 
주거단지,35120,348 ,932 ,348 ,932 ,0 ,41 
주공12단지,35082,1396 ,327 ,1396 ,327 ,0 ,55 
주공12단지,35084,789 ,811 ,789 ,811 ,0 ,51 
주공6단지후문,40453,3344 ,2783 ,3344 ,2783 ,0 ,197 
주공뜨란채아파트,40708,3611 ,3889 ,3611 ,3889 ,0 ,241 
주공뜨란채아파트,40803,4487 ,3351 ,4487 ,3351 ,0 ,252 
주공아파트,40867,513 ,941 ,513 ,941 ,0 ,46 
주물단지,42291,1285 ,3708 ,1285 ,3708 ,0 ,161 
주안1동행정복지센터,37385,5672 ,7167 ,5672 ,7167 ,0 ,414 
주안4동행정복지센터,37318,3142 ,4069 ,3142 ,4069 ,0 ,232 
주안4동행정복지센터,37333,212 ,293 ,212 ,293 ,0 ,16 
주안4동행정복지센터,37335,101 ,471 ,101 ,471 ,0 ,18 
주안4동행정복지센터,37338,7046 ,4051 ,7046 ,4051 ,0 ,357 
주안5동행정복지센터,37526,697 ,881 ,697 ,881 ,0 ,50 
주안7동행정복지센터,37214,20138 ,21342 ,20138 ,21342 ,0 ,1338 
주안7동행정복지센터,37216,23226 ,18282 ,23226 ,18282 ,0 ,1338 
주안국가산단역,37583,7239 ,855 ,7239 ,855 ,0 ,261 
주안국가산단역,37584,97 ,2198 ,97 ,2198 ,0 ,74 
주안남초등학교,37283,7367 ,7582 ,7367 ,7582 ,0 ,482 
주안남초등학교,37284,12737 ,5144 ,12737 ,5144 ,0 ,576 
주안남초등학교,37683,713 ,1583 ,713 ,1583 ,0 ,74 
주안도서관·미추홀구평생학습관,37341,975 ,612 ,975 ,612 ,0 ,51 
주안도서관·미추홀구평생학습관,37342,934 ,727 ,934 ,727 ,0 ,53 
주안매매단지,37586,389 ,229 ,389 ,229 ,0 ,19 
주안북부역,37418,18608 ,13376 ,18608 ,13376 ,0 ,1031 
주안북부역,37420,17701 ,12901 ,17701 ,12901 ,0 ,987 
주안북초등학교,37417,4593 ,8124 ,4593 ,8124 ,0 ,410 
주안사거리,37330,17943 ,12432 ,17943 ,12432 ,0 ,979 
주안사거리,37514,3395 ,9677 ,3395 ,9677 ,0 ,421 
주안시범공단,39927,192 ,463 ,192 ,463 ,0 ,21 
주안아파트,37207,930 ,2602 ,930 ,2602 ,0 ,113 
주안아파트,37209,1516 ,1266 ,1516 ,1266 ,0 ,89 
주안역,37387,81250 ,30837 ,81250 ,30837 ,0 ,3615 
주안역,37389,19371 ,74241 ,19371 ,74241 ,0 ,3019 
주안역,37402,1162 ,4404 ,1162 ,4404 ,0 ,179 
주안역,37506,26885 ,17906 ,26885 ,17906 ,0 ,1444 
주안역센트레빌아파트,37430,8081 ,10258 ,8081 ,10258 ,0 ,591 
주안역센트레빌아파트정문,37490,1140 ,1044 ,1140 ,1044 ,0 ,70 
주안역환승정류장,37503,89421 ,67265 ,89421 ,67265 ,0 ,5054 
주안역환승정류장,37617,112937 ,89282 ,112937 ,89282 ,0 ,6523 
주안파크자이더플래티넘아파트,37201,20395 ,10085 ,20395 ,10085 ,0 ,983 
주안파크자이더플래티넘아파트,37204,11040 ,23240 ,11040 ,23240 ,0 ,1105 
주안현대아파트·지웰에스테이트,37358,17541 ,16614 ,17541 ,16614 ,0 ,1101 
주원고개,39377,1358 ,3861 ,1358 ,3861 ,0 ,168 
